"page_link, count_of_visits"
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/123bf1103a954d9ea145f4bb17acb6f8/e21a44f250d247b0b84006f4a81a1b16/2,752
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@eca40a892af24d24ae7adaff1a33232d,749
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@deb85c93aeef448bb846ec1ef58cd525,743
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@e743e84e9e9a4aaab1f84d957c2f104b,743
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/68b4180d60b8412d8da23484f370bd02/a069095d9ede4b8ea2d92ababd6e5a31/4,741
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@90a6c3ce65b34b0b8358257be685b652,731
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b66d79f0b8ca4b78bc2de7b9555d7286/fae56b3995574e01becd2cdf741456b8/,752
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@ad8ca514ca304a2aad1ef65d0e4b3d81,718
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@00fe454c647e41f8af8b3a5354a60c3a,715
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/1f04e176f3ab4e57aa8279610f03fc06/080cb770c2974b679b8b326e0bc0d0fa/3,713
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@67d143f69f414a91acae2a0dc30c9355,713
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@26980c973a3641f3832cdc365d446249,712
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@ac3648ef33244c408228365b4502cc25,706
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/14190293cbc540feb11490a690e39cc1/34d9bc5232ff4fcdbf3ec691447a5be4/,759
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a2a413c671134a989bbed1781c030756/2277f96f8751433b9cbda5382f03d044/7,701
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/0bbb69c3f41b46acbd92369f05d1e85f/49a4ad64116149e3802ccab9b335e2a6/1,700
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@57f3b681ae2c464684465532565ad6f0,697
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@6edd2e9a53254bce94d1f81267df0f9d,691
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/999ad798797b4a3a9623b8fee69b05b0/b025fc32653d4df89aefc0ce578ee48d/,1053
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@f835ce316ba4414990facd7f0068087e,670
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@9c808a47b6494c17a3b3ec66d2fc6ac0,670
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b8f2ca7be6ba4412964f1b2803e33bc6/3ad687a87ed5456fb03022b08598f646/,997
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@89fc3f535ed3417fa4b593c2cbedaeea,661
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/9fbe3b3f0d55488b8287412f935981d6/01e4e7833f2746faa6ad2d5d2ab4f9b4/5,652
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/9fbe3b3f0d55488b8287412f935981d6/9e6c016f23e140de94d55f5537790e7e/,932
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@81e0bcd914fa495b8afabd25efb73c38,627
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@b59bb66c5a9943a5912e894a807353fe,626
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/1f04e176f3ab4e57aa8279610f03fc06/080cb770c2974b679b8b326e0bc0d0fa/4,624
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@f556144488204d49a3a6d04ac33e65e3,621
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/cbf1ecb85bf7450fb4ec716fe59f0f03/f70d5986af0843a5ba1be40b5d52ea3e/5,620
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/68b4180d60b8412d8da23484f370bd02/a069095d9ede4b8ea2d92ababd6e5a31/7,616
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a1cc086a5cf34dcaae06eb6f0ba39f4f/c7f80c840c03431f87b53c5029b02686/1,609
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b1faa0a35d794207bba406d2be1e9285/7959e07c46ee440ba932a31906ed70de/,795
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@db2ff7c40dce4dc98e8733374d273d15,600
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@78ee6d8ec55448efa25a244d4d52807a,598
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@f7c464d1e70542ba98f24757eca762e0,586
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/123bf1103a954d9ea145f4bb17acb6f8/e21a44f250d247b0b84006f4a81a1b16/3,581
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/68b4180d60b8412d8da23484f370bd02/a069095d9ede4b8ea2d92ababd6e5a31/2,584
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@d86df5148b7d45d8a40f324a6fc6a6e8,579
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b3c2a3cc716b434397c089c31fafeddc/64bc9d18c729445583f29013f3772398/5,564
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/0bbb69c3f41b46acbd92369f05d1e85f/403fc3ffa3ec4b1fa0b28151f302e369/,749
