page_link,visits_count
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@cef8af419ec04e788e48ceac3f49d517,1101
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@32a54762fc124d209358cc5d1c8336bb,958
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@ed121d68ec9a44d5b738be3b76b6d8e2,946
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@ef20bb4077ab4914810e792b3e30c9c9,928
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@96fc41f52b1b4c8da9d4f6a37824ff5b,884
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@c17a9b98628e4c8c9d4eb755ef781770,866
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@0b7e50d81dc44cb7ad92bbb1d217608f,819
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@369d6c4704f5487696f6df024cabda04,684
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@6449360d0e604349b0b42d9c74ffb2ff,637
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@43e608b1f0394928b287d23cb5e5707a,483
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@217dc126b87e4574950bb7be1f45b972,359
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@404bf1b4d7e0449ba04ef9211b13a5d3,343
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@d250086885964645b09d1ce723d9a760,152
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac+type@vertical+block@91ae544bac134385ab75dc42866bd15b,131
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac/instructor,36
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac/courseware/16463d231909400498b55f1e27ff9fa9/c02500091dc949b6b0ad69288abcf63b/1,8
https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac/bookmarks/,7
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac/courseware/b3c2a3cc716b434397c089c31fafeddc/23aa86be09724185921eb54e624efbae/1,4
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac/courseware/1f04e176f3ab4e57aa8279610f03fc06/29a8dd81360e4cd9aef9fd31c5f6ec29/1,4
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac/courseware/16463d231909400498b55f1e27ff9fa9/bce8f3df72f84eb88499a7e2099f8be7/1,2
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac/instructor,2
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac/courseware/a4cffffbad70416bafa2b5a67525c1c8/d07c2c0ac7bb4a328545827e192e5b52/1,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac/courseware/b3c2a3cc716b434397c089c31fafeddc/64bc9d18c729445583f29013f3772398/1,1
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTBASE+spring_2024_ITMO_bac/courseware/123bf1103a954d9ea145f4bb17acb6f8/8cfdadca98c348698fb27d1c6f3caa0e/1,1
