event_name,time,count
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@bbe2eeca956c4c6b8a317fb14fcab07c,2022-09-21,3
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@bbe2eeca956c4c6b8a317fb14fcab07c,2022-10-13,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@c02500091dc949b6b0ad69288abcf63b,2022-09-15,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@c7f80c840c03431f87b53c5029b02686,2022-09-15,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@c7f80c840c03431f87b53c5029b02686,2022-09-16,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@cb6523d05390460ba4863213951b86c5,2022-09-15,5
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d04fd67002d54f71a4e63afa30d443ed,2022-09-15,11
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d07c2c0ac7bb4a328545827e192e5b52,2022-09-15,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d0e62a6e6653488eb0f104346bb53507,2022-09-22,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d0e62a6e6653488eb0f104346bb53507,2022-10-13,4
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d5fb00464a004edb90c1365bfe0261ad,2022-09-15,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d5fb00464a004edb90c1365bfe0261ad,2022-09-19,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d5fb00464a004edb90c1365bfe0261ad,2022-09-20,3
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d66db96fbee742308c7210a178991204,2022-09-25,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d66db96fbee742308c7210a178991204,2022-09-27,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d66db96fbee742308c7210a178991204,2022-10-14,9
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d66db96fbee742308c7210a178991204,2022-10-15,11
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d66db96fbee742308c7210a178991204,2022-10-16,3
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@d97be8b0e5b249b3832b3cc7f3271b24,2022-09-25,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@e21a44f250d247b0b84006f4a81a1b16,2022-09-14,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@e21a44f250d247b0b84006f4a81a1b16,2022-09-15,3
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@eba0a68957ae4bf1a7ef669aac4c64ab,2022-09-25,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@ec576d6a97b040a3bd4d3b8df0f8fb18,2022-09-22,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@ec576d6a97b040a3bd4d3b8df0f8fb18,2022-10-13,3
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@ec576d6a97b040a3bd4d3b8df0f8fb18,2022-10-14,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@ef103cec2d9f4787857e0001559569a6,2022-09-25,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@f81bf48134cb4e58bd0156fd23e4f2c6,2022-09-20,3
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@f81bf48134cb4e58bd0156fd23e4f2c6,2022-09-21,2
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@sequential+block@fae56b3995574e01becd2cdf741456b8,2022-09-15,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@1e0caa46fd7b42368ea6b9577ba1defd,2022-09-15,4
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@3956c4f73c694cbcb1a5424c9062a3af,2022-09-27,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@6449360d0e604349b0b42d9c74ffb2ff,2022-09-15,1
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@916fdc4e3bc2460686b0d4606e09bc33,2022-10-15,4
/api/courseware/sequence/block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@vertical+block@916fdc4e3bc2460686b0d4606e09bc33,2022-10-16,1
/api/edx_proctoring/v1/proctored_exam/attempt,2022-09-14,3
/api/edx_proctoring/v1/proctored_exam/attempt,2022-09-20,1
/api/edx_proctoring/v1/proctored_exam/attempt,2022-09-21,2
/api/edx_proctoring/v1/proctored_exam/attempt,2022-09-22,1
/api/edx_proctoring/v1/proctored_exam/attempt,2022-09-25,2
/api/edx_proctoring/v1/proctored_exam/attempt,2022-09-27,1
