video_id,video_link,views_count,unique_students_count,popular_fragments
3e03dc79b50447a28a7e0972770f9f66,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b66d79f0b8ca4b78bc2de7b9555d7286/a5db68bf79e944419d52014684b6f719/,1173,82,"(295, 511)"
15c8f08734d84c60b0e47ca771a0be55,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/484762194a504410855c71caa954ca7b/3e9b4d8b02ef461aab3fe79a82f954bf/,1654,86,"(311, 623)"
6758bfbc3f274172ae1c5ffd55c2d84f,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/cff236d4fb7c43e98ac5bf4aa7ded990/c7b3dabbea574ae9a4896d239e33cdcf/,826,40,"(290, 521)"
c42b4503627940c1bdbc7d5cea1c5f05,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/14190293cbc540feb11490a690e39cc1/9480a56a077c4a759c5965e77170d99f/1,704,40,"(206, 241)","(251, 543)"
6e500ce8a78e462e80882690a1c78385,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/cff236d4fb7c43e98ac5bf4aa7ded990/c7b3dabbea574ae9a4896d239e33cdcf/,1085,39,"(292, 593)"
df5a9652e60041f5a4e897d0fb36dc2d,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/123bf1103a954d9ea145f4bb17acb6f8/e21a44f250d247b0b84006f4a81a1b16/,604,51,"(235, 400)"
3166969439e345d58a6358e086122821,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/38719609bff540739be088c7e325eb95/6d5c7518d2a249f1a6479ffefe788094/,467,36,"(239, 370)"
46aa6722bfe244208d6564f4c366cd69,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/c2baff7ed8cb4af2a9fef0af8b72ea02/cebade3260a24525b2c1879e8a3dd1a2/,423,31,"(227, 268)","(278, 753)"
10af40118c284f228371ce69c25e13ca,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/c2baff7ed8cb4af2a9fef0af8b72ea02/cebade3260a24525b2c1879e8a3dd1a2/,483,31,"(330, 599)"
7bbe99dce2e94a2abac1834a382e4eec,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/38719609bff540739be088c7e325eb95/6d5c7518d2a249f1a6479ffefe788094/,604,31,"(259, 281)","(300, 520)"
