problem_id,all_attempts,successful_attempts
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@58e90b624b994927b0a45f68accca2dc,51,38
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@59f38ab6c16047e0b5468e6724ca76ea,28,13
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5a2d9b04edbce758b30e,16,4
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5a7df527662748a39ec96b87b9e924c1,191,90
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5afb487967de4c628ef8404e72d0b10a,139,92
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5b82d944da29413b91da2da4a99b5574,203,129
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5bda499fb34d4dceb23894e42666e1a2,109,93
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5cb6db44553946b9b19fb32fab45bb15,78,39
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5e0b3f03e3d245528451568a71effd31,64,61
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5e18fce41b954937af64aa3d59de84d1,39,35
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5e8ceb2d84de499cb7b7b55dfc942b67,149,129
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@5ff9e1d465a84233b17e9e1fbca02f37,333,167
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@6061f86006724007b12d2444cccbd5dd,90,54
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@61505ebd85022d840489,11,5
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@616fdc025e5f4c85b2452ce7b93ff6e6,50,47
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@619258fc3eae4605b978c0473614d5a8,47,41
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@631819d4b45e4107a72186ae3dbea07a,147,70
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@648ce0c5ead24c98bb715373e9f71c8c,147,67
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@64e85423be0a4402a4d309318c94e1a7,16,9
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@64f69c2bb07d72e575cd,1,1
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@662be5e172e244eba383870cdb154cbd,133,90
